Period_ID,IncidentNumber,Dowgate,Euston,Holloway,Islington,Kentish Town,Paddington,Soho,West Hampstead
1,038503-31032017,0,0,0,0,0,0,1,0
1,105575-05082017,0,0,1,0,0,0,0,0
2,079772-19062017,0,0,0,0,0,0,1,0
2,007335-18012017,0,1,0,0,0,0,0,0
2,008615-21012017,0,0,0,1,0,0,0,0
2,019804-16022017,1,0,0,0,0,0,0,0
3,070554-02062017,0,0,0,0,1,0,0,0
3,117734-31082017,0,0,0,0,1,0,0,0
4,070856-03062017,0,0,1,0,0,0,0,0
4,022088-22022017,0,0,0,0,0,0,0,1
4,056405-05052017,0,0,0,0,0,0,0,1
4,074576-11062017,0,0,0,0,0,1,0,0
4,014171-03022017,0,0,0,0,0,1,0,0
5,026952-04032017,0,0,0,0,0,0,0,0
5,129816-26092017,0,0,0,0,0,0,0,0
5,051445-25042017,0,0,0,0,0,0,0,0
5,010005-24012017,0,0,0,0,0,0,0,0
5,021831-21022017,0,0,0,0,0,0,0,0
5,010117-24012017,0,0,0,0,0,0,0,0
6,069392-31052017,0,0,0,0,1,0,0,0
7,040861-05042017,1,0,0,0,0,0,0,0
7,079346-18062017,0,0,0,0,0,0,1,0
7,137914-13102017,0,0,0,0,0,0,1,0
8,051199-24042017,0,0,0,0,0,1,0,0
8,079731-19062017,0,1,0,0,0,0,0,0
8,004006-09012017,0,0,0,0,1,0,0,0
8,088885-04072017,0,0,1,0,0,0,0,0
8,048682-19042017,0,0,0,1,0,0,0,0
9,059834-13052017,0,0,0,0,0,0,0,1
9,003287-08012017,0,0,0,0,0,1,0,0
9,089560-05072017,0,0,0,0,1,0,0,0
10,031389-15032017,0,0,0,0,0,0,1,0
10,108505-11082017,0,0,0,0,0,0,1,0
11,097489-18072017,0,0,0,0,0,0,0,1
11,112119-19082017,0,1,0,0,0,0,0,0
11,040878-05042017,1,0,0,0,0,0,0,0
11,134568-06102017,0,0,0,1,0,0,0,0
11,017386-10022017,0,0,0,0,1,0,0,0
11,031389-15032017,0,0,0,0,0,1,0,0
12,114449-24082017,0,0,1,0,0,0,0,0
12,063222-20052017,0,0,0,0,1,0,0,0
13,010519-25012017,0,0,0,0,0,0,1,0
13,097647-19072017,0,0,0,0,0,0,1,0
13,022746-23022017,0,0,0,0,0,1,0,0
14,117777-31082017,0,0,0,0,1,0,0,0
14,093735-12072017,0,0,0,0,0,1,0,0
14,053409-29042017,0,1,0,0,0,0,0,0
15,004888-12012017,1,0,0,0,0,0,0,0
16,109623-13082017,0,0,0,0,0,0,1,0
16,106548-07082017,0,0,1,0,0,0,0,0
16,042289-08042017,0,0,0,0,0,0,1,0
16,090475-07072017,0,0,0,0,0,0,0,1
16,052956-28042017,0,0,0,0,0,0,0,1
17,113808-23082017,0,1,0,0,0,0,0,0
17,124812-15092017,0,0,0,0,1,0,0,0
18,124502-15092017,0,0,0,0,1,0,0,0
19,004819-12012017,0,0,0,0,0,0,1,0
19,013934-02022017,1,0,0,0,0,0,0,0
20,086654-30062017,0,0,0,0,0,1,0,0
20,064128-21052017,0,0,1,0,0,0,0,0
20,121404-08092017,0,0,0,0,1,0,0,0
20,004943-12012017,0,0,0,1,0,0,0,0
20,052784-27042017,0,0,0,0,0,1,0,0
20,128398-23092017,0,0,0,0,0,0,1,0
21,108076-10082017,0,0,0,0,0,0,0,0
21,137660-13102017,0,0,0,0,0,0,0,0
21,035201-24032017,0,0,0,0,0,0,0,0
21,133997-05102017,0,0,0,0,0,0,0,0
21,083823-25062017,0,0,0,0,0,0,0,0
22,071580-04062017,0,1,0,0,0,0,0,0
22,073492-09062017,1,0,0,0,0,0,0,0
22,062372-18052017,0,0,0,0,0,0,0,1
23,071511-04062017,0,0,0,0,0,0,0,1
23,057509-08052017,0,0,0,0,1,0,0,0
23,014479-03022017,0,0,1,0,0,0,0,0
24,124312-14092017,0,0,0,0,0,0,0,0
24,062949-19052017,0,0,0,0,0,0,0,0
24,039197-01042017,0,0,0,0,0,0,0,0
24,029777-11032017,0,0,0,0,0,0,0,0
24,028113-07032017,0,0,0,0,0,0,0,0
24,052045-26042017,0,0,0,0,0,0,0,0
24,098344-20072017,0,0,0,0,0,0,0,0
24,125069-16092017,0,0,0,0,0,0,0,0
25,027994-07032017,0,0,0,0,1,0,0,0
25,041465-06042017,0,0,0,0,0,0,0,1
25,062664-18052017,0,0,0,1,0,0,0,0
26,071065-03062017,0,0,1,0,0,0,0,0
26,111710-18082017,0,0,0,0,0,0,0,1
26,079544-18062017,0,0,0,0,0,1,0,0
26,141792-21102017,0,0,0,0,0,0,1,0
27,061388-16052017,0,1,0,0,0,0,0,0
27,024617-27022017,0,0,0,0,0,0,1,0
27,116856-29082017,0,0,0,0,1,0,0,0
28,026377-03032017,0,0,0,0,0,1,0,0
28,070188-02062017,1,0,0,0,0,0,0,0
28,039442-02042017,0,0,0,1,0,0,0,0
29,082627-23062017,0,0,0,0,1,0,0,0
29,142806-23102017,0,0,1,0,0,0,0,0
30,026696-04032017,0,0,0,0,1,0,0,0
31,107250-08082017,0,0,0,1,0,0,0,0
31,051075-24042017,0,1,0,0,0,0,0,0
31,097645-19072017,0,0,0,0,0,0,1,0
31,037849-30032017,0,0,0,0,0,1,0,0
31,028725-09032017,1,0,0,0,0,0,0,0
31,100535-25072017,0,0,0,0,0,0,1,0
32,012944-30012017,0,0,0,0,0,0,0,1
32,129362-25092017,0,0,0,0,0,1,0,0
32,104867-03082017,0,0,0,0,1,0,0,0
32,047170-16042017,0,0,0,0,0,0,0,1
32,142846-23102017,0,0,1,0,0,0,0,0
33,002385-06012017,0,0,0,0,0,0,0,0
33,039923-03042017,0,0,0,0,0,0,0,0
33,028506-08032017,0,0,0,0,0,0,0,0
34,040042-03042017,0,1,0,0,0,0,0,0
34,025101-28022017,0,0,0,0,1,0,0,0
34,129992-26092017,0,0,0,0,0,0,1,0
34,130102-26092017,0,0,0,1,0,0,0,0
35,142172-22102017,0,0,0,0,0,0,0,1
36,081886-22062017,0,0,0,0,0,0,0,1
36,002237-05012017,0,0,1,0,0,0,0,0
36,138208-14102017,0,0,0,0,1,0,0,0
37,073337-08062017,0,0,0,0,0,1,0,0
37,097092-18072017,0,0,0,0,0,0,1,0
37,075172-12062017,1,0,0,0,0,0,0,0
37,008868-21012017,0,0,0,0,1,0,0,0
38,107794-09082017,0,1,0,0,0,0,0,0
38,101646-27072017,0,0,0,0,0,0,1,0
39,104606-02082017,0,0,1,0,0,0,0,0
39,033138-19032017,0,0,0,0,1,0,0,0
40,051853-26042017,0,0,0,0,0,0,1,0
40,073142-08062017,0,0,0,0,0,0,0,1
41,140039-17102017,0,0,0,0,0,1,0,0
42,066368-26052017,0,0,0,1,0,0,0,0
42,010180-24012017,0,1,0,0,0,0,0,0
43,064116-21052017,0,0,0,0,0,0,0,1
43,066295-26052017,0,0,0,0,0,1,0,0
44,053498-29042017,0,0,0,0,0,0,0,1
44,060390-14052017,0,0,0,0,1,0,0,0
45,142745-23102017,0,1,0,0,0,0,0,0
46,003154-07012017,0,0,0,0,0,0,0,1
47,137365-12102017,0,0,0,0,0,0,1,0
47,146782-31102017,0,0,1,0,0,0,0,0
48,026748-04032017,0,0,0,0,0,0,0,1
48,129133-24092017,0,0,0,0,0,1,0,0
48,085344-27062017,0,0,0,0,1,0,0,0
49,125607-17092017,0,0,0,0,0,0,1,0
49,129362-25092017,0,0,0,0,0,1,0,0
50,077198-15062017,0,0,1,0,0,0,0,0
50,127597-21092017,0,1,0,0,0,0,0,0
50,104538-02082017,1,0,0,0,0,0,0,0
50,026464-03032017,0,0,0,0,0,0,0,1
