Period_ID,Period,Calls,IncidentNumber
1,2018-01-01T12:00:00Z,2,038503-31032017
1,2018-01-01T12:00:00Z,2,105575-05082017
2,2018-01-01T12:15:00Z,4,079772-19062017
2,2018-01-01T12:15:00Z,4,007335-18012017
2,2018-01-01T12:15:00Z,4,008615-21012017
2,2018-01-01T12:15:00Z,4,019804-16022017
3,2018-01-01T12:30:00Z,2,070554-02062017
3,2018-01-01T12:30:00Z,2,117734-31082017
4,2018-01-01T12:45:00Z,5,070856-03062017
4,2018-01-01T12:45:00Z,5,022088-22022017
4,2018-01-01T12:45:00Z,5,056405-05052017
4,2018-01-01T12:45:00Z,5,074576-11062017
4,2018-01-01T12:45:00Z,5,014171-03022017
5,2018-01-01T13:00:00Z,6,026952-04032017
5,2018-01-01T13:00:00Z,6,129816-26092017
5,2018-01-01T13:00:00Z,6,051445-25042017
5,2018-01-01T13:00:00Z,6,010005-24012017
5,2018-01-01T13:00:00Z,6,021831-21022017
5,2018-01-01T13:00:00Z,6,010117-24012017
6,2018-01-01T13:15:00Z,1,069392-31052017
7,2018-01-01T13:30:00Z,3,040861-05042017
7,2018-01-01T13:30:00Z,3,079346-18062017
7,2018-01-01T13:30:00Z,3,137914-13102017
8,2018-01-01T13:45:00Z,5,051199-24042017
8,2018-01-01T13:45:00Z,5,079731-19062017
8,2018-01-01T13:45:00Z,5,004006-09012017
8,2018-01-01T13:45:00Z,5,088885-04072017
8,2018-01-01T13:45:00Z,5,048682-19042017
9,2018-01-01T14:00:00Z,3,059834-13052017
9,2018-01-01T14:00:00Z,3,003287-08012017
9,2018-01-01T14:00:00Z,3,089560-05072017
10,2018-01-01T14:15:00Z,2,031389-15032017
10,2018-01-01T14:15:00Z,2,108505-11082017
11,2018-01-01T14:30:00Z,6,097489-18072017
11,2018-01-01T14:30:00Z,6,112119-19082017
11,2018-01-01T14:30:00Z,6,040878-05042017
11,2018-01-01T14:30:00Z,6,134568-06102017
11,2018-01-01T14:30:00Z,6,017386-10022017
11,2018-01-01T14:30:00Z,6,031389-15032017
12,2018-01-01T14:45:00Z,2,114449-24082017
12,2018-01-01T14:45:00Z,2,063222-20052017
13,2018-01-01T15:00:00Z,3,010519-25012017
13,2018-01-01T15:00:00Z,3,097647-19072017
13,2018-01-01T15:00:00Z,3,022746-23022017
14,2018-01-01T15:15:00Z,3,117777-31082017
14,2018-01-01T15:15:00Z,3,093735-12072017
14,2018-01-01T15:15:00Z,3,053409-29042017
15,2018-01-01T15:30:00Z,1,004888-12012017
16,2018-01-01T15:45:00Z,5,109623-13082017
16,2018-01-01T15:45:00Z,5,106548-07082017
