IncidentNumber,Dowgate,Euston,Holloway,Islington,Kentish Town,Paddington,Soho,West Hampstead
000009-01012017,0.01,0.05,0.06,0.03,0.08,0.10,0.05,0.13
000058-01012017,0.08,0.05,0.10,0.09,0.07,0.04,0.04,0.08
000077-01012017,0.05,0.01,0.04,0.03,0.04,0.07,0.02,0.09
000115-01012017,0.04,0.02,0.07,0.06,0.05,0.06,0.01,0.10
000132-01012017,0.23,0.17,0.15,0.18,0.13,0.14,0.18,0.12
000139-01012017,0.05,0.01,0.06,0.05,0.05,0.06,0.00,0.10
000157-01012017,0.09,0.04,0.05,0.05,0.02,0.05,0.05,0.05
000159-01012017,0.06,0.00,0.05,0.04,0.04,0.06,0.02,0.09
000160-01012017,0.09,0.04,0.03,0.05,0.00,0.07,0.05,0.05
000161-01012017,0.07,0.03,0.08,0.07,0.05,0.04,0.03,0.08
000162-01012017,0.08,0.03,0.07,0.07,0.04,0.03,0.03,0.07
000163-01012017,0.06,0.02,0.07,0.06,0.04,0.05,0.01,0.09
000191-01012017,0.05,0.02,0.03,0.02,0.05,0.08,0.04,0.10
000195-01012017,0.16,0.19,0.14,0.15,0.17,0.25,0.20,0.23
000197-01012017,0.04,0.02,0.07,0.06,0.06,0.07,0.01,0.11
000203-01012017,0.01,0.05,0.07,0.04,0.09,0.10,0.05,0.14
000237-01012017,0.04,0.02,0.07,0.06,0.05,0.06,0.00,0.10
000243-01012017,0.24,0.18,0.16,0.20,0.14,0.14,0.20,0.12
000244-01012017,0.01,0.05,0.07,0.04,0.09,0.10,0.05,0.14
000316-01012017,0.12,0.06,0.07,0.07,0.04,0.04,0.07,0.03
000321-01012017,0.02,0.06,0.08,0.05,0.10,0.11,0.06,0.15
000327-01012017,0.06,0.03,0.08,0.07,0.06,0.07,0.02,0.11
000331-01012017,0.16,0.18,0.14,0.14,0.17,0.24,0.20,0.22
000342-01012017,0.05,0.01,0.04,0.03,0.04,0.07,0.03,0.09
000347-01012017,0.07,0.03,0.08,0.07,0.05,0.04,0.03,0.08
000372-01012017,0.07,0.03,0.08,0.07,0.05,0.04,0.03,0.08
000400-01012017,0.05,0.03,0.08,0.07,0.04,0.05,0.01,0.09
000439-01012017,0.17,0.17,0.12,0.13,0.15,0.23,0.18,0.20
000441-01012017,0.10,0.12,0.07,0.08,0.11,0.18,0.14,0.16
000443-01012017,0.13,0.07,0.05,0.09,0.04,0.11,0.09,0.09
000511-02012017,0.07,0.02,0.07,0.06,0.04,0.04,0.03,0.07
000547-02012017,0.28,0.22,0.20,0.24,0.19,0.18,0.24,0.14
000553-02012017,0.13,0.08,0.12,0.12,0.09,0.02,0.08,0.04
000586-02012017,0.05,0.05,0.03,0.01,0.04,0.11,0.06,0.09
000590-02012017,0.08,0.03,0.03,0.04,0.01,0.08,0.04,0.06
000593-02012017,0.09,0.12,0.07,0.08,0.10,0.18,0.13,0.15
000726-02012017,0.06,0.04,0.09,0.08,0.05,0.04,0.02,0.08
000748-02012017,0.06,0.04,0.09,0.08,0.05,0.04,0.02,0.08
000758-02012017,0.11,0.07,0.12,0.11,0.08,0.01,0.06,0.04
000815-02012017,0.12,0.07,0.12,0.12,0.09,0.02,0.08,0.04
000833-02012017,0.03,0.03,0.05,0.01,0.06,0.09,0.04,0.11
000845-02012017,0.31,0.25,0.23,0.26,0.21,0.20,0.26,0.16
000874-02012017,0.19,0.13,0.11,0.15,0.10,0.10,0.15,0.08
000875-02012017,0.19,0.13,0.12,0.15,0.10,0.10,0.15,0.08
000895-02012017,0.05,0.02,0.07,0.06,0.05,0.06,0.00,0.10
000896-02012017,0.03,0.03,0.05,0.02,0.07,0.08,0.03,0.12
000908-02012017,0.14,0.13,0.09,0.09,0.12,0.19,0.15,0.17
000915-02012017,0.14,0.17,0.12,0.13,0.15,0.23,0.18,0.21
000936-02012017,0.16,0.18,0.13,0.14,0.17,0.24,0.20,0.22
000939-02012017,0.12,0.14,0.10,0.10,0.13,0.20,0.16,0.18
000942-02012017,0.16,0.10,0.08,0.12,0.06,0.05,0.12,0.01
000959-03012017,0.17,0.16,0.11,0.13,0.15,0.22,0.18,0.20
000964-03012017,0.16,0.10,0.08,0.11,0.06,0.13,0.11,0.10
000975-03012017,0.10,0.07,0.02,0.06,0.05,0.13,0.08,0.10
000996-03012017,0.06,0.01,0.06,0.05,0.03,0.05,0.02,0.08
001001-03012017,0.20,0.22,0.18,0.18,0.21,0.28,0.24,0.26
001018-03012017,0.04,0.02,0.06,0.06,0.06,0.07,0.01,0.11
001028-03012017,0.03,0.03,0.05,0.04,0.06,0.07,0.01,0.11
001035-03012017,0.10,0.04,0.04,0.06,0.00,0.07,0.06,0.05
001045-03012017,0.05,0.02,0.07,0.06,0.05,0.05,0.01,0.10
001046-03012017,0.03,0.03,0.05,0.02,0.07,0.08,0.03,0.12
001051-03012017,0.06,0.04,0.09,0.08,0.06,0.05,0.03,0.09
001058-03012017,0.03,0.03,0.04,0.02,0.06,0.08,0.04,0.11
001083-03012017,0.07,0.04,0.08,0.08,0.05,0.03,0.03,0.07
001087-03012017,0.02,0.04,0.06,0.03,0.08,0.08,0.03,0.13
001091-03012017,0.12,0.06,0.06,0.08,0.02,0.05,0.08,0.03
001096-03012017,0.11,0.07,0.12,0.11,0.08,0.01,0.06,0.04
001102-03012017,0.07,0.05,0.10,0.09,0.06,0.05,0.03,0.09
001111-03012017,0.02,0.04,0.06,0.03,0.07,0.08,0.02,0.12
001113-03012017,0.13,0.08,0.07,0.09,0.04,0.04,0.09,0.01
001116-03012017,0.19,0.14,0.12,0.15,0.10,0.10,0.15,0.08
001134-03012017,0.01,0.05,0.07,0.03,0.08,0.09,0.03,0.13
001150-03012017,0.02,0.04,0.05,0.02,0.07,0.08,0.04,0.12
001169-03012017,0.10,0.10,0.06,0.06,0.09,0.16,0.12,0.14
001174-03012017,0.21,0.15,0.13,0.16,0.11,0.12,0.16,0.10
001175-03012017,0.08,0.04,0.01,0.04,0.03,0.10,0.05,0.08
001198-03012017,0.09,0.06,0.11,0.10,0.07,0.01,0.05,0.05
001200-03012017,0.10,0.12,0.07,0.08,0.11,0.18,0.13,0.16
001209-03012017,0.09,0.11,0.06,0.07,0.10,0.17,0.13,0.15
001218-03012017,0.12,0.14,0.09,0.10,0.12,0.20,0.15,0.18
001223-03012017,0.14,0.08,0.10,0.09,0.07,0.03,0.09,0.01
001235-03012017,0.06,0.02,0.07,0.06,0.04,0.04,0.02,0.09
001238-03012017,0.09,0.03,0.03,0.05,0.01,0.08,0.05,0.06
001260-03012017,0.21,0.24,0.19,0.20,0.22,0.30,0.25,0.28
001263-03012017,0.05,0.02,0.06,0.06,0.05,0.06,0.00,0.10
001272-03012017,0.06,0.00,0.04,0.04,0.04,0.06,0.02,0.09
001284-03012017,0.06,0.02,0.07,0.06,0.03,0.04,0.02,0.08
001287-03012017,0.11,0.05,0.03,0.07,0.01,0.09,0.07,0.07
001301-03012017,0.08,0.10,0.05,0.06,0.09,0.16,0.11,0.14
001372-03012017,0.18,0.13,0.11,0.14,0.09,0.08,0.14,0.05
001387-04012017,0.06,0.05,0.02,0.02,0.04,0.11,0.06,0.09
001458-04012017,0.03,0.03,0.05,0.02,0.06,0.08,0.03,0.11
001459-04012017,0.03,0.03,0.05,0.05,0.06,0.07,0.01,0.11
001467-04012017,0.21,0.24,0.19,0.20,0.22,0.30,0.25,0.27
001491-04012017,0.11,0.07,0.12,0.11,0.08,0.01,0.06,0.04
001497-04012017,0.12,0.07,0.12,0.12,0.09,0.01,0.07,0.04
001511-04012017,0.13,0.12,0.07,0.09,0.10,0.18,0.13,0.15
001523-04012017,0.14,0.15,0.10,0.11,0.13,0.21,0.16,0.18
